concept_id,level_of_cause,predecessors_array,total_yr_deaths_USA,per_100_000_inhabitants_/yr_USA,female_yr_deaths_/yr_USA,female_yr_deaths_=<_4yo_USA,"female_yr_deaths_>=5yo,_<=64yo_USA",female_yr_deaths_>=_65_USA,male_yr_deaths_USA,male_yr_deaths_=<_4yo_USA,"male_yr_deaths_>=5yo,_<=64yo_USA",male_yr_deaths_>=_65_USA,total_deaths_source_year_USA,sources_total_deaths_USA,deaths_quality_USA,total_yr_deaths_FRANCE,per_100_000_inhabitants_/yr_FRANCE,female_yr_deaths_/yr_FRANCE,female_yr_deaths_=<_4yo_FRANCE,"female_yr_deaths_>=5yo,_<=64yo_FRANCE",female_yr_deaths_>=_65_FRANCE,male_yr_deaths_FRANCE,male_yr_deaths_=<_4yo_FRANCE,"male_yr_deaths_>=5yo,_<=64yo_FRANCE",male_yr_deaths_>=_65_FRANCE,total_deaths_source_year_FRANCE,sources_total_deaths_FRANCE,deaths_quality_FRANCE,successor_array,sources_for_causality,causality_quality,is accident,CIM10,comments,concept_id_french
smoke cigarettes,root,,,,,,,,,,,,,,,60000,89.47,28005,0,2958,25047,31995,0,5751,26244,2000,https://archined.ined.fr/download/publication/AW-LrEsx8al0CP9YCadc/4302c03114246c6bd052fc402bb90b271578595880843.pdf,2,,,2,,,"French distribution of total to gender/age groups based on French distribution of total to gender/age groups Mortality in women and men in relation to smoking DOI: 10.1093/ije/27.1.27 · Source: PubMed computed with "">15/day"" smoker deaths - ""Never smoked"" deaths for all death causes",Tabagisme
cigarette smoke irritants,indirect,"[{""predecessor_id"":""smoke cigarettes"",""impact"":""1""}]",,,,,,,,,,,,,,12800,19.09,5974,0,631,5343,6826,0,1227,5599,2000,,1,"[{""successor_id"":""damaged pulmonary alveoli""}]",,1,,,French distribution of total to gender/age groups estimated from predecessor,substances irritantes du tabagisme
cigarette smoke carcinogens,indirect,"[{""predecessor_id"":""smoke cigarettes"",""impact"":""1""}]",,,,,,,,,,,,,,47200,70.38,22030,0,2327,19704,25170,0,4524,20645,2000,,1,"[{""successor_id"":""lung cancer""},{""successor_id"":""pancreatic cancer""},{""successor_id"":""gastric cancer""},{""successor_id"":""bladder cancer""},{""successor_id"":""cancer of the oral cavity and the pharynx""},{""successor_id"":""esophageal cancer""},{""successor_id"":""kidney cancer""},{""successor_id"":""larynx cancer""}]",,1,,,French distribution of total to gender/age groups estimated from predecessor,substances carcinogènes du tabagisme
obesity-related inflammation,root,,,,,,,,,,,,,,,55000,82.01,19390,0,11054,8337,21483,0,14727,6756,1992,"https://www.academie-medecine.fr/lobesite-morbide-probleme-de-sante-publique-traitement-chirurgical-sous-laparoscopie/?lang=en#:~:text=Pour%20la%20France%2C%20le%20taux,177%20932%20cas%20%5B8%5D.",2,"[{""successor_id"":""pancreatic cancer""},{""successor_id"":""gastric cancer""}]",,2,,E66,French distribution of total to gender/age groups based on USA CDC for E66,Obésité
coronary heart disease,direct,"[{""predecessor_id"":""ischemia"",""impact"":""0.601""},{""predecessor_id"":""kidney cancer"",""impact"":""0.142""},{""predecessor_id"":""diabetes"",""impact"":""0.256""}]",,,,,,,,,,,,,,32460,48.40,13118,0,710,12408,19342,0,3539,15803,2016,https://www.santepubliquefrance.fr/docs/bulletin-epidemiologique-hebdomadaire-12-novembre-2019-n-29-30-surveillance-de-la-mortalite-par-cause-medicale-en-france-les-dernieres-evolutions,2,,"sum up from kidney predecessor https://jasn.asnjournals.org/content/26/10/2504, others https://www.nejm.org/doi/full/10.1056/NEJM198405033101801 https://www.ahajournals.org/doi/full/10.1161/01.CIR.93.7.1354 https://www.ncbi.nlm.nih.gov/books/NBK53012/",2,,,,Cardiopathie coronarienne
stroke,direct,"[{""predecessor_id"":""ischemia"",""impact"":""0.657""},{""predecessor_id"":""haemorrhage"",""impact"":""0.164""},{""predecessor_id"":""diabetes"",""impact"":""0.160""},{""predecessor_id"":""non-Hodgkin lymphoma"",""impact"":""0.017""}]",,,,,,,,,,,,,,31228,46.56,18292,2,880,17410,12936,6,1461,11469,2016,https://www.santepubliquefrance.fr/docs/bulletin-epidemiologique-hebdomadaire-12-novembre-2019-n-29-30-surveillance-de-la-mortalite-par-cause-medicale-en-france-les-dernieres-evolutions,2,,sum up from predecessor,2,,,includes venous thrombosis and pulmonary thrombosis https://www.santepubliquefrance.fr/content/download/103214/1687194,Accident vasculaire cérébral
diabetes,indirect,"[{""predecessor_id"":""insulin-producing cells destruction by immune system"",""impact"":""0.1""},{""predecessor_id"":""insulin resistant cells"",""impact"":""0.45""},{""predecessor_id"":""low insulin production by pancreas"",""impact"":""0.45""}]",,,,,,,,,,,,,,11275,16.81,5704,0,342,5362,5571,1,795,4775,2016,https://www.santepubliquefrance.fr/docs/bulletin-epidemiologique-hebdomadaire-12-novembre-2019-n-29-30-surveillance-de-la-mortalite-par-cause-medicale-en-france-les-dernieres-evolutions,2,"[{""successor_id"":""stroke"",""impact"":""0.50""},{""successor_id"":""coronary heart disease"",""impact"":""0.5""}]","https://www.idf.org/aboutdiabetes/type-1-diabetes.html https://www.diabetes.co.uk/diabetes-causes.html https://care.diabetesjournals.org/content/40/12/1763.abstract , https://www.bmj.com/content/bmj/287/6396/867.full.pdf",1,,F10,distrib based on prevalence type 1 and 2 assuming patient with type 2 and 2 have same probability of dying.,Diabète
alcohol-related carcinogens,root,,,,,,,,,,,,,,,30000,44.73,6453,0,3470,2983,23547,0,16351,7196,2001,https://www.ofdt.fr/produits-et-addictions/vue-d-ensemble/#consequ,2,"[{""successor_id"":""liver cancer""},{""successor_id"":""cancer of the oral cavity and the pharynx""},{""successor_id"":""esophageal cancer""},{""successor_id"":""larynx cancer""}]",,2,,,French distribution of total to gender/age groups based CEPIDC F10 and it's unclear if it also includes accidents related to alcool e.g. falls,alcool
lung cancer,indirect,"[{""predecessor_id"":""cigarette smoke carcinogens"",""impact"":""0.7""},{""predecessor_id"":""poor air quality"",""impact"":""0.29""},{""predecessor_id"":""ionizing radiations"",""impact"":""0.02""}]",,,,,,,,,,,,,,31526,47.01,9348,1,3568,5779,23222,1,7916,15305,2016,https://www.santepubliquefrance.fr/docs/bulletin-epidemiologique-hebdomadaire-12-novembre-2019-n-29-30-surveillance-de-la-mortalite-par-cause-medicale-en-france-les-dernieres-evolutions,2,"[{""successor_id"":""low oxygen in blood"",""impact"":""1""}]","https://www.nhs.uk/conditions/lung-cancer/causes/ https://pubmed.ncbi.nlm.nih.gov/23194048/#:~:text=From%20a%20functional%20(pathophysiologic)%20perspective,resection%2C%20and%20lung%20injury%20in",2,,,,Cancer des poumons
colon cancer / rectal cancer,indirect,"[{""predecessor_id"":""APC protein deficiency"",""impact"":""0.8""},{""predecessor_id"":""unknown carcinogens"",""impact"":""0.2""}]",,,,,,,,,,,,,,17716,26.42,8366,0,1307,7059,9350,0,1821,7529,2016,https://www.santepubliquefrance.fr/docs/bulletin-epidemiologique-hebdomadaire-12-novembre-2019-n-29-30-surveillance-de-la-mortalite-par-cause-medicale-en-france-les-dernieres-evolutions,2,"[{""successor_id"":""metastases""}]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3754875/,2,,,,Cancer du colon/Cancer du rectum
